name,categories,rating,price,address,phone,latitude,longitude
Rakuya,"Sushi Bars, Bars, Ramen",3.5,$$,"1900 Q St NW, Washington, DC 20009",+12022657258,38.910965,-77.043642
Raku,"Sushi Bars, Asian Fusion",4.0,$$,"3312 Wisconsin Ave NW, Washington, DC 20016",+12022447258,38.9340958,-77.072745
Rasika,Indian,4.5,$$,"633 D St NW, Washington, DC 20004",+12026371222,38.8950080871582,-77.0212860107422
Rania,"Wine Bars, Indian, Cocktail Bars",4.5,$$$$,"427 11th St NW, Washington, DC 20004",+12028046434,38.89577,-77.02681
RASA,"Indian, Halal, Salad",4.5,$$,"485 K St NW, Washington, DC 20001",+12026294329,38.90282,-77.01846
The Red Hen,"Italian, Desserts, Cocktail Bars",4.5,$$$,"1822 1st St NW, Washington, DC 20001",+12025253021,38.91502,-77.01239
Reveler’s Hour,"Italian, Pasta Shops, Tapas/Small Plates",4.0,$$$,"1775 Columbia Rd NW, Washington, DC 20009",+12025881616,38.92349,-77.04207
Rooster & Owl,"New American, Tapas/Small Plates",4.5,$$$$,"2436 14th St NW, Washington, DC 20009",+12029159004,38.9215571973142,-77.0323891192675
Rumi’s Kitchen,Persian/Iranian,4.5,$$$,"640 L St NW, Washington, DC 20001",+12029009106,38.9040351,-77.0213156
St. Anselm,"Steakhouses, New American, Breakfast & Brunch",4.5,$$$,"1250 5th St NE, Washington, DC 20002",+12028642199,38.907794,-76.999082
Seven Reasons,"Latin American, Cocktail Bars",4.5,$$$,"2208 14th St NW, Washington, DC 20009",+12024178563,38.91955,-77.03222
Shabu Plus,"Hot Pot, Japanese",3.5,,"2321 18th St NW, Washington, DC 20009",+12024502151,38.92027,-77.04155
Silver and Sons BBQ,"Food Trucks, Barbeque",4.5,,"Washington, DC 20036",+13013294460,38.905089252599794,-77.03668475957033
Sura,"Thai, Lounges",4.5,,"2016 P St NW, Ste C1, Washington, DC 20036",,38.90949152279202,-77.0456201
Tail Up Goat,"Cocktail Bars, New American, Italian",4.5,$$$,"1827 Adams Mill Rd NW, Washington, DC 20009",,38.9235881935023,-77.0431297123031
Ivy City SmokeHouse,"Seafood, Smokehouse, Bars",3.5,$$,"1356 Okie St NE, Washington, DC 20002",+12025293300,38.91463,-76.98555
Thip Khao,Laotian,4.5,$$,"3462 14th St NW, Washington, DC 20010",+12023875426,38.9329951308367,-77.03298782558623
Unconventional Diner,"New American, Breakfast & Brunch",4.5,$$,"1207 9th St NW, Washington, DC 20001",+12028470122,38.906139,-77.0238
